X,Y,fid,OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,NO,F_POINT,ELEV,ELE,ELPBG,DOM,CH1,DIA,A,B,PT,STAMAN,STAPRE,POINT,DESC,PLU,POINT_HEXAG,ECHELLE,VUEPL,EL_,F0_000,CURVENO,RADIUS,LENGTH,DELTA,TANGENT,CHORD,BEARING,X,IDENTIFICATION,S_,TXT1,SS,VALEURX,VALEUR_Y,TEXTE,A1,NIVEAU,Item_Short_Name,Item_Description,Manufacturer,Part_Number,Quantity_Imperial,Unit_Imperial,Quantity_Metric,Unit_Metric,ID_CSI_Masterformat,ID_CSI_Uniformat,ID_CI_SfB,ID_UniClass,ID_User_Defined,NAME,PLUVIAL,SANITIRE,EAU_POTABLE,COD,DSC,INF,F1,F2,icon_url
-71.7373617091668,46.6720765779598,19,19,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.387569052869,PU13,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7373905724528,46.672206218666,20,20,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.387569052661,PU14,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7379171572476,46.6724825291765,21,21,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.387569045932,PU15,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7378384315297,46.6725335587834,22,22,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.387569046515,PU16,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7382199622738,46.6728123655158,23,23,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.693740603591,PU17,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.738330429999,46.6727950878729,24,24,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,299.153510957026,PU18,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7371961571382,46.6728433380112,25,25,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,285.380251988656,PU24,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7370511792753,46.672838978231,26,26,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.274277247333,PU23,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7366955132108,46.6724692364199,27,27,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.423117577049,PU21,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7366085504656,46.67251590065,28,28,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.270483628401,PU22,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7374927413889,46.6715057425126,29,29,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-CIR,28.8164831234701,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7375460496069,46.6715691456948,30,30,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-CIR,28.8164831234701,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7357194940927,46.6800790847636,31,31,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356068525503,46.6799930529098,32,32,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,233.257915195368,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356486771067,46.679960395453,33,33,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,212.362831455985,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7357011901859,46.6798737510591,34,34,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,297.946357522841,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
